lang,id,speaker_id,gender,duration_sec,sample_rate,n_words,n_chars
lin,lin_66396,XBwikaaNxlPnxKEL0d2rw44hMog2,Male,18.33875,48000,38,208
lin,lin_66316,cwQbBoH8csVMmnKt3cPCmZt6jC43,Male,20.01875,48000,27,149
lin,lin_66356,MBLCohydbGXVbVl62lOnV8yqvp72,Female,20.61875,48000,38,205
lin,lin_66334,9J0Xo69bgkhk1s5SeLdLH9UQQC22,Male,22.46675,48000,29,195
lin,lin_66369,aBjQ2BKMCoUIeOIwENeRTCdC5vB2,Male,21.33875,48000,13,79
lin,lin_66315,IFY5x0PvZMdaqZZRUxa34oJVcR62,Female,24.98675,48000,16,89
lin,lin_98938,2vowXAOWTcQLzBOaSpQVwoccG9k1,Male,15.45875,48000,28,141
lin,lin_98921,JqRutZbEUEMMviepZxaaDNGMNM82,Female,15.98675,48000,26,152
lin,lin_98956,FzdvGMcP1mY2v86Jh5RDAqygN1p1,Female,15.86675,48000,12,68
lin,lin_98924,MBLCohydbGXVbVl62lOnV8yqvp72,Female,17.37875,48000,27,141
lin,lin_98908,QgnuSHGQZ6R2ukORVIsl1tC8wlq2,male,17.85875,48000,22,107
lin,lin_98966,SoRQbi27TMQyuGltKiKnUBvJlLR2,Female,16.65875,48000,32,166
lin,lin_98982,96Bs7DdStfc7RF78O26y4EvOLMy2,Female,25.17875,48000,7,37
lin,lin_98947,BJJZeZLdZkX10jOSnFR1yUy6JVC3,Male,27.14675,48000,37,193
lin,lin_27511,4rz2JZIZrUfKaxu5d9zdgrT2B1v1,Female,1.01075,48000,30,163
lin,lin_27571,bMMjekXDkzfYxq6eF2GAHFy2Ml42,Female,1.01075,48000,7,35
lin,lin_27533,2vowXAOWTcQLzBOaSpQVwoccG9k1,Male,15.57875,48000,16,81
lin,lin_27585,1A30jGPQoQcLFzluanP2XEGjKsD3,Male,16.17875,48000,30,151
lin,lin_27516,S4RKuQBSBtUaUz9d3SxD8HkOIep2,Female,16.46675,48000,17,102
lin,lin_27565,S4RKuQBSBtUaUz9d3SxD8HkOIep2,Female,14.97875,48000,23,139
lin,lin_27531,2xqeSkTET4WoveuEbhYxFWMKvkW2,Male,16.58675,48000,15,83
lin,lin_27586,JqRutZbEUEMMviepZxaaDNGMNM82,Female,17.30675,48000,28,163
lin,lin_27504,ywYeqEpSB0fAQFMBPhaa0FAUXJi2,Male,19.82675,48000,38,182
lin,lin_27564,ywYeqEpSB0fAQFMBPhaa0FAUXJi2,Male,18.14675,48000,21,123
lin,lin_27503,IFY5x0PvZMdaqZZRUxa34oJVcR62,Female,22.65875,48000,56,288
lin,lin_27597,IzzcBr7KDMWalIsY2GdsJorp39Y2,Female,21.21875,48000,37,184
lin,lin_57718,4rz2JZIZrUfKaxu5d9zdgrT2B1v1,Female,1.01075,48000,25,146
lin,lin_57781,2tHmToSLC1SmO7ztZCgXxZWz4rH2,Female,1.01075,48000,28,159
lin,lin_57749,OWDZrFDhl8g2R3lZ7encCuWVrFz1,Female,15.93875,48000,33,194
lin,lin_57761,L1rcgUuFcIODljkLHmomfxq2LHU2,Female,17.25875,48000,22,117
lin,lin_57792,FSVvCTIvsUZdjKNDyGQyxHQgiOq2,Male,15.86675,48000,13,87
lin,lin_57735,1QCzigweYBWBqtunTpm49It9KYx2,Male,21.62675,48000,29,178
lin,lin_57720,BJJZeZLdZkX10jOSnFR1yUy6JVC3,Male,25.53875,48000,47,230
lin,lin_57740,vzIPINLA7Hb17aceO6IjlaezEog1,Female,31.17875,48000,43,237
lin,lin_39618,217a3u2t6BMMytJPIXYZWyAHtNE2,Female,11.73875,48000,23,120
lin,lin_39622,OWDZrFDhl8g2R3lZ7encCuWVrFz1,Female,15.38675,48000,26,132
lin,lin_39632,ldfWBYiRPhNkV1SRWE7KkBgnen32,Male,15.38675,48000,12,63
lin,lin_39625,TJOvEMOAOiW1NdG5dmStVikYqqy1,Female,16.77875,48000,10,63
lin,lin_39623,2vowXAOWTcQLzBOaSpQVwoccG9k1,Male,15.86675,48000,16,91
lin,lin_39699,XsM6resN7dTwkeiy6KJ5FRPLYk42,Male,16.89875,48000,15,87
lin,lin_39603,QRazkXw5ySfg273MJhULVLYA1wm1,Male,19.46675,48000,24,135
lin,lin_39649,JqRutZbEUEMMviepZxaaDNGMNM82,Female,17.78675,48000,12,65
lin,lin_39662,217a3u2t6BMMytJPIXYZWyAHtNE2,Female,18.50675,48000,32,174
lin,lin_39681,QRazkXw5ySfg273MJhULVLYA1wm1,Male,21.69875,48000,40,201
lin,lin_39613,ywYeqEpSB0fAQFMBPhaa0FAUXJi2,Male,21.38675,48000,43,237
lin,lin_39651,6YGSZedAbqXEAPkncPAdWzOaztk1,female,24.50675,48000,31,178
lin,lin_39689,217a3u2t6BMMytJPIXYZWyAHtNE2,Female,24.02675,48000,40,229
lin,lin_37713,2vowXAOWTcQLzBOaSpQVwoccG9k1,Male,15.69875,48000,13,78
lin,lin_37774,MBLCohydbGXVbVl62lOnV8yqvp72,Female,13.70675,48000,20,114
lin,lin_37768,MBLCohydbGXVbVl62lOnV8yqvp72,Female,16.53875,48000,22,121
lin,lin_37753,OWDZrFDhl8g2R3lZ7encCuWVrFz1,Female,15.14675,48000,32,168
lin,lin_37726,S4RKuQBSBtUaUz9d3SxD8HkOIep2,Female,15.14675,48000,26,130
lin,lin_37728,avuHt9BLfWTvuNwp3dYuRnaatFk2,Female,16.70675,48000,16,96
lin,lin_37708,2vowXAOWTcQLzBOaSpQVwoccG9k1,Male,17.13875,48000,21,118
lin,lin_37785,217a3u2t6BMMytJPIXYZWyAHtNE2,Female,18.38675,48000,24,120
lin,lin_37735,OWDZrFDhl8g2R3lZ7encCuWVrFz1,Female,16.65875,48000,37,214
lin,lin_37700,1QCzigweYBWBqtunTpm49It9KYx2,Male,19.53875,48000,37,229
lin,lin_37784,fJPVJb13g9NNh21t1hC6cGLjOHD3,Male,19.10675,48000,13,74
lin,lin_37777,1QCzigweYBWBqtunTpm49It9KYx2,Male,19.34675,48000,37,217
lin,lin_37767,OWDZrFDhl8g2R3lZ7encCuWVrFz1,Female,21.98675,48000,43,223
lin,lin_37744,96Bs7DdStfc7RF78O26y4EvOLMy2,Female,22.89875,48000,33,174
lin,lin_37778,aBjQ2BKMCoUIeOIwENeRTCdC5vB2,Male,23.37875,48000,24,132
lin,lin_37799,BFSI6woFRodl1EEm2HUh30z6G0s1,Male,21.93875,48000,38,248
lin,lin_37741,CJmJTwFckVRm2Y5v8Z7CQhQMxYo1,Male,25.46675,48000,31,185
lin,lin_37775,96Bs7DdStfc7RF78O26y4EvOLMy2,Female,25.53875,48000,20,97
lin,lin_37755,96Bs7DdStfc7RF78O26y4EvOLMy2,Female,30.81875,48000,25,148
lin,lin_37734,96Bs7DdStfc7RF78O26y4EvOLMy2,Female,32.06675,48000,16,104
lin,lin_53418,OWDZrFDhl8g2R3lZ7encCuWVrFz1,Female,15.50675,48000,29,152
lin,lin_53493,S4RKuQBSBtUaUz9d3SxD8HkOIep2,Female,14.90675,48000,20,127
lin,lin_53437,DarqiyWuApQDBMNCqdm2N7gN8vX2,male,18.45875,48000,36,192
lin,lin_53432,MBLCohydbGXVbVl62lOnV8yqvp72,Female,17.01875,48000,29,164
lin,lin_53459,9J0Xo69bgkhk1s5SeLdLH9UQQC22,Male,18.02675,48000,18,119
lin,lin_53425,DarqiyWuApQDBMNCqdm2N7gN8vX2,male,18.50675,48000,41,199
lin,lin_53417,vzIPINLA7Hb17aceO6IjlaezEog1,Female,19.34675,48000,29,173
lin,lin_53422,XsM6resN7dTwkeiy6KJ5FRPLYk42,Male,20.30675,48000,41,213
lin,lin_53465,ywYeqEpSB0fAQFMBPhaa0FAUXJi2,Male,19.29875,48000,40,238
lin,lin_53496,fJPVJb13g9NNh21t1hC6cGLjOHD3,Male,19.41875,48000,10,51
lin,lin_53472,VO87bzdtXAQ9znHN7tAq7Yx3Lu92,Male,19.65875,48000,24,109
lin,lin_53457,BJJZeZLdZkX10jOSnFR1yUy6JVC3,Male,31.46675,48000,56,307
lin,lin_53239,RPI1veNyPLXd7e8zyIHueesuFQu2,Female,1.01075,48000,11,54
lin,lin_53285,4rz2JZIZrUfKaxu5d9zdgrT2B1v1,Female,1.01075,48000,22,104
lin,lin_53292,217a3u2t6BMMytJPIXYZWyAHtNE2,Female,14.90675,48000,24,118
lin,lin_53247,VO87bzdtXAQ9znHN7tAq7Yx3Lu92,Male,18.38675,48000,37,199
lin,lin_53253,IzzcBr7KDMWalIsY2GdsJorp39Y2,Female,17.78675,48000,30,156
lin,lin_53210,OWDZrFDhl8g2R3lZ7encCuWVrFz1,Female,17.49875,48000,40,206
lin,lin_53245,aBjQ2BKMCoUIeOIwENeRTCdC5vB2,Male,19.29875,48000,19,118
lin,lin_53278,2OmR5Y0KJbWRWHPHJyfQuSfM34I3,Female,20.49875,48000,23,132
lin,lin_53216,EPhghNjL1gaiKvKZzW194fzLXnB2,Male,21.29075,48000,7,33
lin,lin_53259,BJJZeZLdZkX10jOSnFR1yUy6JVC3,Male,27.45875,48000,46,245
lin,lin_8151,4rz2JZIZrUfKaxu5d9zdgrT2B1v1,Female,1.01075,48000,11,56
lin,lin_8176,4rz2JZIZrUfKaxu5d9zdgrT2B1v1,Female,1.01075,48000,32,164
lin,lin_8195,SOn9zS6NDwWms7yJuSIjOWQUpvJ2,Female,1.0500226757369615,44100,4,15
lin,lin_8107,MBLCohydbGXVbVl62lOnV8yqvp72,Female,13.58675,48000,20,120
lin,lin_8122,ldfWBYiRPhNkV1SRWE7KkBgnen32,Male,15.62675,48000,11,59
lin,lin_8142,OWDZrFDhl8g2R3lZ7encCuWVrFz1,Female,15.14675,48000,26,150
lin,lin_8145,OWDZrFDhl8g2R3lZ7encCuWVrFz1,Female,15.38675,48000,27,149
lin,lin_8116,JqRutZbEUEMMviepZxaaDNGMNM82,Female,16.17875,48000,21,122
lin,lin_8164,FSVvCTIvsUZdjKNDyGQyxHQgiOq2,Male,15.93875,48000,21,116
lin,lin_8179,IFY5x0PvZMdaqZZRUxa34oJVcR62,Female,15.57875,48000,23,118
lin,lin_8196,JqRutZbEUEMMviepZxaaDNGMNM82,Female,18.02675,48000,32,187
lin,lin_8121,SzM4EdWymven87NrdE5JRBhNfeZ2,Female,22.22675,48000,15,94
lin,lin_8197,BJJZeZLdZkX10jOSnFR1yUy6JVC3,Male,19.94675,48000,25,137
lin,lin_8154,1QCzigweYBWBqtunTpm49It9KYx2,Male,26.90675,48000,53,305
lin,lin_49057,FzdvGMcP1mY2v86Jh5RDAqygN1p1,Female,7.46675,48000,12,68
lin,lin_49068,7QA9IolFYSQn2wQycNPqW3hgzUC3,Female,8.30675,48000,12,68
lin,lin_49069,OWDZrFDhl8g2R3lZ7encCuWVrFz1,Female,16.17875,48000,33,176
lin,lin_49029,pZ31aJ99C7ffYq9JvakJARMO4jo2,male,17.06675,48000,38,222
lin,lin_49048,IFY5x0PvZMdaqZZRUxa34oJVcR62,Female,20.06675,48000,19,111
lin,lin_49014,FSVvCTIvsUZdjKNDyGQyxHQgiOq2,Male,18.86675,48000,25,154
lin,lin_49034,PkdQls7DJhP0hCYgWYQZLpLX97I2,Female,17.97875,48000,26,133
lin,lin_49033,JqRutZbEUEMMviepZxaaDNGMNM82,Female,16.70675,48000,17,103
lin,lin_49095,ywYeqEpSB0fAQFMBPhaa0FAUXJi2,Male,20.78675,48000,30,209
lin,lin_49012,QgnuSHGQZ6R2ukORVIsl1tC8wlq2,male,21.74675,48000,28,138
lin,lin_49020,96Bs7DdStfc7RF78O26y4EvOLMy2,Female,24.50675,48000,30,176
lin,lin_49025,FzdvGMcP1mY2v86Jh5RDAqygN1p1,Female,32.73875,48000,45,220
lin,lin_49035,1bitowTD3gdJxPXVtOX9n9G2lGz1,Male,33.50675,48000,36,208
lin,lin_7305,4rz2JZIZrUfKaxu5d9zdgrT2B1v1,Female,1.01075,48000,30,169
lin,lin_7352,34jJTV4jITUWLMKvugE1OGTvEVr2,Female,11.13875,48000,18,104
lin,lin_7357,XBwikaaNxlPnxKEL0d2rw44hMog2,Male,15.50675,48000,29,176
lin,lin_7317,OWDZrFDhl8g2R3lZ7encCuWVrFz1,Female,16.05875,48000,25,139
lin,lin_7323,XsM6resN7dTwkeiy6KJ5FRPLYk42,Male,16.77875,48000,34,183
lin,lin_7360,avuHt9BLfWTvuNwp3dYuRnaatFk2,Female,16.46675,48000,13,84
lin,lin_7311,IzzcBr7KDMWalIsY2GdsJorp39Y2,Female,17.78675,48000,27,145
lin,lin_7364,1A30jGPQoQcLFzluanP2XEGjKsD3,Male,17.06675,48000,23,138
lin,lin_7341,1A30jGPQoQcLFzluanP2XEGjKsD3,Male,17.42675,48000,34,175
lin,lin_7340,aBjQ2BKMCoUIeOIwENeRTCdC5vB2,Male,18.86675,48000,23,127
lin,lin_7396,avuHt9BLfWTvuNwp3dYuRnaatFk2,Female,16.46675,48000,7,42
lin,lin_7335,DarqiyWuApQDBMNCqdm2N7gN8vX2,male,17.78675,48000,42,223
lin,lin_7381,217a3u2t6BMMytJPIXYZWyAHtNE2,Female,18.38675,48000,25,144
lin,lin_7325,QRazkXw5ySfg273MJhULVLYA1wm1,Male,21.93875,48000,25,134
lin,lin_7326,OWDZrFDhl8g2R3lZ7encCuWVrFz1,Female,20.30675,48000,41,226
lin,lin_7347,217a3u2t6BMMytJPIXYZWyAHtNE2,Female,21.26675,48000,34,160
lin,lin_7366,BJJZeZLdZkX10jOSnFR1yUy6JVC3,Male,22.70675,48000,23,129
lin,lin_7361,1QCzigweYBWBqtunTpm49It9KYx2,Male,23.13875,48000,35,211
lin,lin_7387,ywYeqEpSB0fAQFMBPhaa0FAUXJi2,Male,22.94675,48000,34,229
lin,lin_47083,vzIPINLA7Hb17aceO6IjlaezEog1,Female,6.86675,48000,7,59
lin,lin_47040,CJmJTwFckVRm2Y5v8Z7CQhQMxYo1,Male,14.90675,48000,17,99
lin,lin_47029,217a3u2t6BMMytJPIXYZWyAHtNE2,Female,15.62675,48000,10,56
lin,lin_47062,IzzcBr7KDMWalIsY2GdsJorp39Y2,Female,16.34675,48000,24,112
lin,lin_47068,pZ31aJ99C7ffYq9JvakJARMO4jo2,male,15.69875,48000,23,144
lin,lin_47076,XsM6resN7dTwkeiy6KJ5FRPLYk42,Male,16.58675,48000,18,99
lin,lin_47012,ywYeqEpSB0fAQFMBPhaa0FAUXJi2,Male,15.98675,48000,29,177
lin,lin_47070,DarqiyWuApQDBMNCqdm2N7gN8vX2,male,18.57875,48000,34,187
lin,lin_47095,ywYeqEpSB0fAQFMBPhaa0FAUXJi2,Male,17.49875,48000,28,160
lin,lin_47078,MBLCohydbGXVbVl62lOnV8yqvp72,Female,19.70675,48000,32,177
lin,lin_47018,1QCzigweYBWBqtunTpm49It9KYx2,Male,21.45875,48000,30,175
lin,lin_47045,fJPVJb13g9NNh21t1hC6cGLjOHD3,Male,20.42675,48000,17,79
lin,lin_40655,4rz2JZIZrUfKaxu5d9zdgrT2B1v1,Female,1.01075,48000,21,106
lin,lin_40625,pZ31aJ99C7ffYq9JvakJARMO4jo2,male,15.81875,48000,38,220
lin,lin_40613,FzdvGMcP1mY2v86Jh5RDAqygN1p1,Female,15.69875,48000,21,102
lin,lin_40606,IFY5x0PvZMdaqZZRUxa34oJVcR62,Female,15.86675,48000,16,102
lin,lin_40669,XsM6resN7dTwkeiy6KJ5FRPLYk42,Male,16.34675,48000,18,129
lin,lin_40668,OWDZrFDhl8g2R3lZ7encCuWVrFz1,Female,15.98675,48000,35,197
lin,lin_40690,OWDZrFDhl8g2R3lZ7encCuWVrFz1,Female,15.57875,48000,31,170
lin,lin_40642,OWDZrFDhl8g2R3lZ7encCuWVrFz1,Female,16.41875,48000,26,137
lin,lin_40601,pZ31aJ99C7ffYq9JvakJARMO4jo2,male,17.18675,48000,27,170
lin,lin_40645,1QCzigweYBWBqtunTpm49It9KYx2,Male,17.37875,48000,8,46
lin,lin_40621,L1rcgUuFcIODljkLHmomfxq2LHU2,Female,17.73875,48000,29,166
lin,lin_40695,08heleefdKTpZK60d2kN6Ec61V43,Male,17.85875,48000,25,129
lin,lin_40641,1QCzigweYBWBqtunTpm49It9KYx2,Male,18.21875,48000,39,206
lin,lin_40635,QgnuSHGQZ6R2ukORVIsl1tC8wlq2,male,20.54675,48000,40,189
lin,lin_40644,aBjQ2BKMCoUIeOIwENeRTCdC5vB2,Male,19.70675,48000,12,65
lin,lin_40632,217a3u2t6BMMytJPIXYZWyAHtNE2,Female,22.22675,48000,36,190
